Running Time (ms),Array Size (n),Search (binary/linear)
1,0,Binary
0,10000000,Binary
0,20000000,Binary
0,30000000,Binary
0,40000000,Binary
0,50000000,Binary
0,60000000,Binary
0,70000000,Binary
0,80000000,Binary
0,90000000,Binary
0,100000000,Binary
0,110000000,Binary
0,120000000,Binary
0,130000000,Binary
0,140000000,Binary
0,150000000,Binary
0,160000000,Binary
0,170000000,Binary
0,180000000,Binary
0,190000000,Binary
0,200000000,Binary
0,210000000,Binary
0,220000000,Binary
0,230000000,Binary
0,240000000,Binary
0,0,Linear
7,10000000,Linear
9,20000000,Linear
9,30000000,Linear
19,40000000,Linear
19,50000000,Linear
20,60000000,Linear
27,70000000,Linear
29,80000000,Linear
31,90000000,Linear
32,100000000,Linear
39,110000000,Linear
42,120000000,Linear
41,130000000,Linear
46,140000000,Linear
53,150000000,Linear
55,160000000,Linear
60,170000000,Linear
64,180000000,Linear
71,190000000,Linear
73,200000000,Linear
67,210000000,Linear
69,220000000,Linear
72,230000000,Linear
75,240000000,Linear
